,0,1
0,83.5,182.5
1,84.5,203.0
2,86.5,222.5
3,90.5,242.5
4,97.5,261.0
5,109.0,277.5
6,125.0,290.5
7,143.0,300.5
8,164.0,303.0
9,183.5,300.5
10,202.5,290.5
11,218.5,277.5
12,230.5,262.0
13,237.0,243.5
14,241.0,224.5
15,243.0,205.0
16,244.5,185.0
17,99.0,160.5
18,108.0,149.5
19,123.0,145.5
20,138.0,148.0
21,152.0,154.5
22,178.0,154.5
23,191.5,148.5
24,206.5,147.0
25,220.5,151.0
26,230.0,162.0
27,164.5,175.0
28,164.5,188.0
29,164.0,199.5
30,164.0,212.5
31,149.0,226.0
32,157.0,228.0
33,165.0,229.5
34,172.5,228.0
35,180.5,226.5
36,116.5,178.0
37,124.5,173.0
38,134.5,173.5
39,143.0,180.0
40,134.0,181.0
41,124.0,180.5
42,186.0,180.0
43,194.0,173.0
44,203.5,173.0
45,211.5,178.0
46,204.0,181.0
47,194.5,181.0
48,136.0,256.5
49,146.5,250.5
50,157.0,247.0
51,164.0,249.5
52,171.0,247.5
53,181.5,251.0
54,192.0,256.0
55,181.5,263.5
56,171.5,266.0
57,164.0,267.0
58,156.0,266.5
59,146.0,264.0
60,141.0,257.0
61,157.0,255.0
62,164.5,256.0
63,171.0,255.0
64,187.0,256.5
65,171.0,256.5
66,164.0,256.5
67,157.0,256.5
68,0.0,0.0
69,163.0,0.0
70,326.0,0.0
71,326.0,221.0
72,326.0,443.0
73,163.0,443.0
74,0.0,443.0
75,0.0,221.0
